date,code,close,pctChg,a20,a50
2018/9/28,sh.000300,3438.864,1.0364,3307.0396,3359.10242
2018/10/8,sh.000300,3290.898,-4.3028,3304.85935,3355.06252
2018/10/9,sh.000300,3288.69,-0.0671,3303.20265,3350.32132
2018/10/10,sh.000300,3281.597,-0.2157,3299.0876,3344.31916
2018/10/11,sh.000300,3124.113,-4.799,3290.3862,3335.24638
2018/10/12,sh.000300,3170.726,1.492,3285.7785,3327.936
2018/10/15,sh.000300,3126.451,-1.3964,3278.2189,3320.0405
2018/10/16,sh.000300,3100.973,-0.8149,3271.76415,3311.75838
2018/10/17,sh.000300,3118.246,0.557,3266.4659,3303.77018
2018/10/18,sh.000300,3044.391,-2.3685,3258.58425,3295.71024
2018/10/19,sh.000300,3134.945,2.9745,3253.5032,3290.99
2018/10/22,sh.000300,3270.273,4.3168,3254.91235,3290.0898
2018/10/23,sh.000300,3183.425,-2.6557,3253.8375,3288.29286
2018/10/24,sh.000300,3188.201,0.15,3249.776,3284.6795
2018/10/25,sh.000300,3194.308,0.1916,3243.8673,3282.27552
2018/10/26,sh.000300,3173.635,-0.6472,3237.0428,3277.79764
2018/10/29,sh.000300,3076.888,-3.0485,3220.36295,3271.23502
2018/10/30,sh.000300,3110.26,1.0846,3206.88575,3265.63334
2018/10/31,sh.000300,3153.823,1.4006,3193.71485,3261.25154
2018/11/1,sh.000300,3177.033,0.7359,3182.387,3258.95268
2018/11/2,sh.000300,3290.245,3.5635,3174.95605,3259.22304
2018/11/5,sh.000300,3262.835,-0.8331,3173.5529,3259.88736
2018/11/6,sh.000300,3243.15,-0.6033,3171.2759,3259.40538
2018/11/7,sh.000300,3221.91,-0.6549,3168.29155,3257.31062
2018/11/8,sh.000300,3212.773,-0.2836,3172.72455,3255.407
2018/11/9,sh.000300,3167.444,-1.4109,3172.56045,3252.35538
2018/11/12,sh.000300,3205.14,1.1901,3176.4949,3249.9515
2018/11/13,sh.000300,3237.382,1.006,3183.31535,3246.56768
2018/11/14,sh.000300,3204.942,-1.002,3187.65015,3242.66312
2018/11/15,sh.000300,3242.371,1.1679,3197.54915,3239.77908
2018/11/16,sh.000300,3257.673,0.4719,3203.68555,3237.91066
2018/11/19,sh.000300,3294.603,1.1336,3204.90205,3237.11266
2018/11/20,sh.000300,3218.407,-2.3128,3206.65115,3235.04432
2018/11/21,sh.000300,3226.491,0.2512,3208.56565,3232.29618
2018/11/22,sh.000300,3214.427,-0.3739,3209.5716,3230.6219
2018/11/23,sh.000300,3143.475,-2.2073,3208.0636,3228.2338
2018/11/26,sh.000300,3141.243,-0.071,3211.28135,3225.5058
2018/11/27,sh.000300,3137.241,-0.1274,3212.6304,3223.64926
2018/11/28,sh.000300,3178.932,1.3289,3213.88585,3222.74368
2018/11/29,sh.000300,3137.654,-1.2985,3211.9169,3221.45628
2018/11/30,sh.000300,3172.69,1.1166,3206.03915,3220.17876
2018/12/3,sh.000300,3260.95,2.7819,3205.9449,3220.55596
2018/12/4,sh.000300,3267.709,0.2073,3207.17285,3221.8117
2018/12/5,sh.000300,3252.004,-0.4806,3208.67755,3221.46316
2018/12/6,sh.000300,3181.673,-2.1627,3207.12255,3218.84698
2018/12/7,sh.000300,3181.564,-0.0034,3207.82855,3216.27576
2018/12/10,sh.000300,3144.763,-1.1567,3204.8097,3210.96132
2018/12/11,sh.000300,3159.815,0.4786,3200.93135,3206.56154
2018/12/12,sh.000300,3170.609,0.3416,3199.2147,3201.6289
2018/12/13,sh.000300,3219.692,1.5481,3198.08075,3197.95094
2018/12/14,sh.000300,3165.91,-1.6704,3193.4926,3192.49186
2018/12/17,sh.000300,3161.196,-0.1489,3186.82225,3189.89782
2018/12/18,sh.000300,3128.426,-1.0366,3182.3232,3186.69254
2018/12/19,sh.000300,3091.125,-1.1923,3175.5549,3182.8831
2018/12/20,sh.000300,3067.416,-0.767,3168.20435,3181.74916
2018/12/21,sh.000300,3029.395,-1.2395,3162.50035,3178.92254
2018/12/24,sh.000300,3038.198,0.2906,3157.3481,3177.15748
2018/12/25,sh.000300,3017.281,-0.6885,3151.3501,3175.48364
2018/12/26,sh.000300,3002.032,-0.5054,3142.5051,3173.15936
2018/12/27,sh.000300,2990.505,-0.384,3135.14765,3172.08164
2018/12/28,sh.000300,3010.653,0.6737,3127.0458,3169.5958
2019/1/2,sh.000300,2969.535,-1.3658,3112.47505,3163.58104
2019/1/3,sh.000300,2964.842,-0.158,3097.3317,3159.20938
2019/1/4,sh.000300,3035.874,2.3958,3086.5252,3156.16284
2019/1/7,sh.000300,3054.303,0.607,3080.1567,3153.36274
2019/1/8,sh.000300,3047.703,-0.2161,3073.46365,3150.8441
2019/1/9,sh.000300,3078.475,1.0097,3070.14925,3150.87584
2019/1/10,sh.000300,3072.686,-0.188,3065.7928,3150.12436
2019/1/11,sh.000300,3094.778,0.719,3062.00125,3148.94346
2019/1/14,sh.000300,3067.784,-0.8722,3054.40585,3146.75848
2019/1/15,sh.000300,3127.99,1.9625,3052.50985,3143.51338
2019/1/16,sh.000300,3128.651,0.0211,3050.8826,3140.8297
2019/1/17,sh.000300,3111.416,-0.5509,3050.0321,3138.19502
2019/1/18,sh.000300,3168.173,1.8242,3053.8845,3137.12028
2019/1/21,sh.000300,3185.636,0.5512,3059.7955,3136.57754
2019/1/22,sh.000300,3143.317,-1.3284,3065.4916,3136.095
2019/1/23,sh.000300,3141.053,-0.072,3070.63435,3134.81326
2019/1/24,sh.000300,3158.781,0.5644,3077.70935,3133.24124
2019/1/25,sh.000300,3184.469,0.8132,3086.8312,3132.83178
2019/1/28,sh.000300,3183.777,-0.0217,3096.4948,3131.6599
2019/1/29,sh.000300,3193.969,0.3201,3105.6606,3130.38582
2019/1/30,sh.000300,3168.482,-0.798,3115.60795,3127.8634
2019/1/31,sh.000300,3201.633,1.0463,3127.4475,3127.52792
2019/2/1,sh.000300,3247.397,1.4294,3138.02365,3127.94604
2019/2/11,sh.000300,3306.472,1.8191,3150.6321,3129.78694
2019/2/12,sh.000300,3330.335,0.7217,3164.7637,3133.52414
2019/2/13,sh.000300,3397.027,2.0026,3180.6913,3138.63982
